age,family_size,dependents,monthly_income,total_savings,property_value,has_disability,medical_severity,employment_status,label
55,2,0,37334,121970,2268952,1,7,Retired,0
35,3,2,5122,691988,0,1,6,Retired,1
45,3,2,11194,1489300,0,0,6,Employed,1
32,6,5,22836,510464,0,0,5,Unemployed,0
29,7,1,5101,877673,2794548,0,1,Retired,0
83,2,0,20359,879427,0,0,6,Employed,0
33,6,2,37651,1362330,0,0,6,Employed,0
81,8,0,2569,1165326,0,0,9,Retired,1
20,6,5,25263,1328545,0,0,7,Employed,0
26,1,0,41006,1250487,0,0,4,Employed,0
68,1,0,35716,492492,0,1,4,Retired,0
76,4,1,37100,1448056,0,0,8,Employed,0
71,1,0,4298,1053320,0,0,7,Retired,1
53,6,0,34194,970254,2236682,1,6,Retired,0
43,7,0,13969,360525,0,0,6,Employed,0
41,8,0,41984,948983,0,0,0,Employed,0
48,1,0,14043,53248,0,1,6,Student,1
85,7,0,7943,1197180,0,1,4,Employed,1
19,6,1,44317,974727,0,0,5,Student,0
76,4,3,12180,395811,1721533,0,6,Employed,0
23,8,7,33228,1104734,1353098,1,6,Employed,1
76,6,4,13400,209115,0,0,1,Student,1
52,1,0,27167,1472681,1484778,0,1,Student,0
73,5,2,3868,1215120,2183795,0,6,Employed,0
81,8,3,11238,1432464,0,0,0,Student,1
76,3,1,41767,815202,0,0,10,Employed,0
41,8,3,16834,652699,2251414,0,3,Employed,0
47,1,0,2296,1000328,1927357,0,9,Retired,0
38,1,0,7450,346435,0,0,4,Unemployed,1
72,6,1,23427,828094,0,1,8,Retired,0
64,3,2,4594,563591,0,0,9,Employed,1
78,8,6,13963,608052,0,1,9,Student,1
85,4,0,40241,231598,1184811,0,6,Retired,0
71,4,0,12489,707208,0,0,0,Unemployed,0
23,6,0,33139,662916,0,0,2,Retired,0
35,2,1,11675,491804,0,0,9,Employed,1
58,1,0,32011,785386,0,1,1,Employed,0
56,2,1,40245,647164,2996046,1,8,Unemployed,0
85,6,4,31286,134237,0,0,10,Student,0
20,1,0,24738,980972,579478,0,9,Unemployed,0
70,3,2,21507,27351,2909723,0,2,Student,0
53,6,0,11374,480339,0,0,5,Student,0
81,4,3,26759,627424,0,0,0,Employed,0
52,7,6,40468,1237555,0,0,2,Student,0
35,4,0,26785,661060,0,0,0,Retired,0
20,2,1,23474,1496959,0,0,5,Employed,0
46,5,4,35472,610010,875105,0,10,Unemployed,0
51,6,2,15403,1378322,0,0,6,Student,0
53,8,5,30281,1219176,801245,0,0,Employed,0
18,7,2,9164,1261830,0,0,1,Unemployed,0
18,2,0,24904,133801,0,0,3,Employed,0
39,6,5,37270,1069662,0,0,8,Student,0
30,5,2,10591,760107,2581440,0,0,Employed,0
36,3,2,6488,1103063,0,0,7,Unemployed,1
49,5,0,40618,365393,0,0,9,Student,0
35,1,0,8974,848742,0,0,6,Student,1
23,6,1,25285,42685,0,0,7,Retired,0
35,4,0,16436,409208,2267287,1,1,Employed,0
28,4,1,18885,191463,2743837,0,2,Employed,0
62,7,2,39968,714307,511959,0,0,Employed,0
72,8,5,41603,1414502,0,1,8,Retired,0
36,3,2,16166,99813,0,1,9,Student,1
71,1,0,26555,271084,0,0,0,Unemployed,0
18,4,2,9989,893662,0,0,8,Retired,0
30,6,4,5448,993149,1736224,0,7,Student,0
54,5,1,16784,372229,0,0,3,Student,0
56,4,3,28458,188748,0,0,1,Student,0
76,4,1,37525,228177,1354062,1,8,Retired,0
22,2,0,15618,352054,0,0,2,Employed,0
48,6,2,28133,705619,0,0,7,Retired,0
82,7,2,40813,1244089,0,0,6,Unemployed,0
82,5,3,16261,1002019,0,0,8,Retired,1
50,4,0,29828,1374009,0,0,4,Employed,0
28,5,2,11141,316856,0,0,2,Unemployed,1
23,7,5,16530,1064436,0,0,5,Employed,1
67,2,0,21839,316628,0,1,5,Employed,0
52,2,0,20514,188218,0,0,1,Student,0
60,4,2,44856,57326,0,1,9,Unemployed,0
74,1,0,20539,140495,0,0,3,Retired,0
28,3,1,14209,443350,1282994,0,8,Retired,0
63,4,1,38499,932728,1045250,0,0,Employed,0
53,7,6,23033,558942,0,0,1,Student,1
53,8,1,12223,715233,0,0,4,Student,1
78,6,5,28135,960673,1998765,0,3,Retired,0
65,2,0,7263,152653,2425374,0,6,Unemployed,0
80,4,1,32800,783790,2012960,1,4,Unemployed,0
79,1,0,18086,614141,0,0,5,Retired,0
53,8,2,10142,234090,0,0,3,Unemployed,1
56,6,3,11809,518497,2538363,1,5,Employed,1
23,4,1,19212,33750,1097694,0,2,Unemployed,0
78,8,5,34501,263996,992327,0,10,Employed,0
24,6,5,15360,768883,0,0,2,Employed,1
66,8,0,19385,235260,0,0,10,Unemployed,0
57,4,1,16695,1003661,0,0,4,Employed,0
70,7,0,3855,989533,0,0,5,Unemployed,1
50,6,3,41635,1012601,0,0,6,Student,0
51,2,1,3821,1121018,0,0,0,Unemployed,1
39,7,6,18750,1281261,0,0,1,Unemployed,1
26,2,1,21403,1215294,0,0,7,Employed,0
43,1,0,2420,1220868,0,0,4,Retired,1
46,7,2,42116,1211106,0,0,1,Student,0
72,4,0,37433,1454381,2171775,0,5,Retired,0
67,4,3,16523,419429,0,0,1,Employed,1
18,1,0,3949,128349,2218991,0,4,Retired,0
81,1,0,44581,1030943,0,1,4,Retired,0
81,4,1,19151,1133856,2678342,0,1,Employed,0
52,5,2,42561,239027,0,0,6,Student,0
61,2,0,28598,410096,0,0,10,Employed,0
42,6,2,5395,714785,0,0,9,Student,1
36,7,3,11896,1295344,0,0,10,Employed,1
55,1,0,36619,1476522,0,0,4,Student,0
66,7,3,4889,982217,0,0,2,Retired,1
26,2,1,41160,633876,0,0,5,Unemployed,0
57,2,0,26945,1044111,953089,0,3,Unemployed,0
54,6,1,7535,1344934,0,0,3,Employed,1
28,1,0,10357,152954,0,0,8,Unemployed,0
52,7,4,44298,502035,0,0,5,Employed,0
47,2,1,8564,1016548,0,0,1,Employed,1
46,6,0,2273,1455818,0,0,5,Retired,1
42,4,3,37889,976989,1857177,0,6,Unemployed,0
44,8,6,9657,810942,0,0,0,Retired,1
69,1,0,2266,275657,0,0,3,Employed,1
65,1,0,10362,198220,0,0,3,Retired,0
58,4,1,26363,1367507,2260510,0,10,Student,0
55,2,1,32925,980974,2785887,0,8,Unemployed,0
84,7,4,10483,906007,0,1,2,Student,1
65,1,0,41468,713817,637750,0,10,Unemployed,0
72,7,4,21757,144481,0,0,5,Student,0
52,6,3,17680,565218,1153242,0,10,Retired,0
70,2,1,9991,921314,0,0,2,Unemployed,1
81,1,0,34951,258485,0,0,0,Employed,0
18,6,3,40415,626781,0,0,4,Employed,0
37,7,1,25739,1020330,661960,0,8,Retired,0
72,8,5,13653,226085,0,0,3,Student,1
20,5,4,6163,17771,0,0,9,Student,0
65,5,0,26177,1302231,1395975,1,1,Employed,0
65,2,1,25071,1485271,1124463,0,1,Retired,0
38,1,0,26812,1453600,0,0,7,Retired,0
52,2,1,33781,228216,0,0,0,Student,0
50,8,6,7209,1272726,2777908,0,4,Unemployed,0
30,1,0,32039,366474,0,0,4,Retired,0
27,1,0,37824,924205,0,0,6,Employed,0
44,6,0,13009,785880,0,0,6,Unemployed,0
52,2,0,6316,591010,0,0,3,Student,1
51,2,0,13247,392506,0,0,5,Unemployed,0
73,6,1,29296,1494530,0,0,8,Retired,0
77,2,1,10062,793600,0,0,4,Unemployed,1
64,6,0,27740,687801,2903995,0,3,Retired,0
63,6,2,30715,632626,0,0,3,Employed,0
57,6,5,13216,768563,0,1,2,Student,1
81,5,1,26379,160934,0,0,1,Employed,0
25,8,7,34409,222342,1273470,0,7,Retired,0
66,2,0,33363,671973,0,0,6,Retired,0
60,5,2,24579,459269,1784201,1,6,Retired,0
56,4,1,17323,488010,0,0,6,Retired,0
40,5,0,41882,841774,0,0,9,Student,0
24,2,0,5555,1150061,0,0,1,Unemployed,1
81,6,2,13857,570152,0,0,5,Employed,1
44,6,2,39752,994198,0,1,7,Employed,0
28,8,7,26935,1194688,0,0,1,Employed,1
57,5,4,13553,333341,0,0,4,Retired,1
73,5,2,33520,316061,0,0,2,Employed,0
66,4,1,40999,752880,0,0,5,Employed,0
43,4,3,44411,905095,0,0,0,Retired,0
74,6,3,22320,172124,0,0,0,Student,0
29,3,0,32122,679790,661303,0,7,Student,0
84,2,1,12525,426198,0,0,0,Unemployed,0
45,8,2,3664,794500,555961,0,5,Retired,1
66,5,0,19297,509523,0,0,6,Student,0
67,3,1,2167,633892,0,0,1,Retired,1
76,8,7,5913,115958,2309038,1,4,Student,1
19,8,5,9200,763280,1619114,0,5,Retired,0
28,4,3,21505,1085582,0,0,10,Unemployed,0
76,5,0,7015,38892,0,0,8,Employed,1
68,1,0,6837,1387005,0,0,8,Unemployed,1
55,7,1,18472,1005833,951891,0,9,Employed,0
49,5,1,39422,211669,1953618,0,0,Retired,0
52,3,1,3909,135556,0,1,6,Student,1
65,6,2,41035,815595,0,1,4,Unemployed,0
80,1,0,21110,340254,0,0,4,Unemployed,0
85,1,0,4934,530574,604484,0,4,Retired,1
60,7,2,33630,464122,0,0,8,Employed,0
57,2,0,35921,443915,1637138,1,10,Student,0
67,8,7,30872,445187,0,0,8,Retired,0
41,4,0,21406,386156,0,1,1,Unemployed,0
18,2,1,18226,1478418,0,0,1,Unemployed,0
79,7,6,39937,1275561,0,0,6,Student,0
80,7,1,30207,755533,0,0,5,Employed,0
30,5,4,39639,717671,0,0,10,Employed,0
33,3,2,20055,743282,0,0,0,Employed,0
24,6,4,29084,1320535,0,0,8,Employed,0
50,3,1,12718,322794,1885827,0,6,Student,0
49,2,0,11157,818360,0,0,3,Unemployed,0
29,8,7,21266,1144336,1606008,1,10,Unemployed,1
82,3,0,29492,492628,0,1,7,Employed,0
23,7,4,18537,820128,0,1,4,Unemployed,1
53,8,2,5684,563275,0,0,3,Unemployed,1
30,8,7,22245,240620,0,0,3,Unemployed,1
26,2,1,40547,561023,0,0,6,Retired,0
70,1,0,16788,1026110,0,0,8,Retired,0
22,3,0,20223,959939,0,0,7,Student,0
33,4,1,42486,1190516,0,0,2,Unemployed,0
69,5,4,19295,354310,2887692,0,3,Student,0
36,8,6,37779,392143,0,0,7,Unemployed,0
63,3,1,23669,1031554,1883833,0,4,Unemployed,0
33,3,1,32394,494199,0,0,5,Retired,0
67,6,1,3476,570918,0,0,3,Student,1
77,5,2,31994,684539,0,0,3,Employed,0
81,8,0,36773,153440,0,0,9,Unemployed,0
37,1,0,30579,641129,0,0,7,Retired,0
30,7,2,5496,541149,0,0,1,Student,1
67,4,0,11138,1318644,0,1,1,Retired,1
22,8,4,32800,294106,2911302,1,2,Unemployed,0
81,3,1,27886,748151,2361499,0,5,Retired,0
50,3,2,25710,426855,1569118,0,5,Employed,0
19,5,4,28141,551186,1488927,1,0,Retired,1
30,8,1,41313,522822,0,0,9,Student,0
79,5,4,5317,1267906,1535249,1,6,Student,1
71,5,3,25331,689288,0,0,2,Retired,0
55,1,0,10667,449982,1266164,0,7,Student,0
57,8,1,4518,313775,0,0,6,Retired,1
77,4,1,26858,555086,720249,0,1,Unemployed,0
70,5,0,18394,462896,1531848,0,9,Student,0
85,6,3,35954,750950,0,0,2,Student,0
33,3,0,17545,1354736,0,0,8,Employed,0
41,7,5,20468,1009807,2249980,0,2,Student,0
50,2,1,5222,1235121,0,0,10,Retired,1
80,8,1,14510,554835,0,0,7,Employed,0
40,4,0,37828,862120,0,0,8,Retired,0
57,1,0,40888,29092,0,0,10,Employed,0
28,2,1,10870,921617,0,1,7,Unemployed,1
52,8,4,16982,435668,0,0,10,Employed,1
82,3,2,4698,1356286,1055686,0,8,Student,1
69,6,1,27694,605034,2507920,0,10,Employed,0
70,7,2,27323,725287,0,0,4,Unemployed,0
73,2,0,7536,780172,1749352,0,5,Employed,0
33,6,3,4160,1403535,921728,0,6,Student,1
56,8,1,12261,854461,0,0,0,Unemployed,1
24,3,0,8503,690454,977469,0,8,Retired,1
23,4,3,30807,557586,0,1,6,Retired,0
23,5,1,37096,934906,2719953,0,0,Employed,0
79,4,1,24603,61362,726634,0,10,Unemployed,0
24,3,1,12841,1341288,2469023,0,0,Retired,0
40,4,3,31605,1461508,2422708,0,0,Retired,0
80,7,0,3364,684242,0,0,3,Employed,1
44,4,1,9276,193570,0,0,4,Student,1
85,3,2,35425,826784,1611228,0,8,Employed,0
82,4,1,34624,524440,0,0,0,Student,0
50,4,1,16182,569057,0,0,1,Retired,0
80,7,2,44418,1165452,0,0,7,Unemployed,0
82,8,4,20992,1467815,0,0,10,Employed,0
33,6,2,16158,1326509,0,0,2,Employed,0
33,5,4,38266,919731,0,0,10,Student,0
48,1,0,7992,586309,1172654,0,6,Unemployed,1
36,1,0,40654,77700,0,0,10,Retired,0
75,5,4,15739,804165,0,0,10,Employed,1
51,4,0,6474,779336,0,1,7,Unemployed,1
49,8,7,5050,425503,0,0,9,Retired,1
75,4,0,26328,1239133,2616534,0,1,Student,0
20,3,1,30674,796781,0,0,3,Retired,0
74,3,1,44144,135975,854277,0,9,Retired,0
34,6,1,19356,988220,1233057,0,1,Retired,0
84,1,0,32833,1425774,0,0,8,Student,0
81,4,0,8577,275489,0,0,9,Unemployed,1
47,7,1,24485,872955,0,0,1,Retired,0
50,1,0,34566,709157,0,0,5,Student,0
67,7,5,37947,1332239,0,0,3,Unemployed,0
39,7,5,9335,943710,2333930,0,2,Unemployed,0
24,6,1,34072,67282,0,0,8,Unemployed,0
65,1,0,21580,1486800,0,0,4,Student,0
32,6,1,39096,392478,2183833,0,7,Student,0
35,3,2,39413,521449,0,0,4,Retired,0
79,4,2,3031,502884,2722331,0,0,Unemployed,0
51,4,0,36035,1095506,0,0,6,Student,0
85,3,1,13892,882655,689676,0,0,Retired,0
35,8,2,8555,496467,2961683,0,4,Student,0
18,7,1,43739,600436,0,0,2,Retired,0
19,8,7,8944,658422,1159756,0,9,Unemployed,0
19,6,4,25569,403548,1372101,0,2,Employed,0
45,1,0,44578,541815,0,0,9,Employed,0
27,4,1,26805,142027,0,1,8,Student,0
84,5,3,24525,935666,0,0,1,Employed,0
76,6,5,30322,844487,535217,0,6,Employed,0
51,6,5,33756,558749,1687847,0,0,Unemployed,0
61,8,3,12041,729217,708172,0,8,Student,1
20,1,0,36596,550215,0,0,5,Employed,0
62,6,2,5353,137245,1674185,0,1,Student,0
57,5,0,11859,770172,0,0,1,Retired,0
82,7,4,18140,1379335,0,0,2,Retired,1
32,2,0,15681,221265,0,0,7,Retired,0
85,5,0,27576,1406153,0,0,9,Unemployed,0
22,3,2,29300,240397,0,0,5,Student,0
33,7,5,39096,877118,2951647,0,1,Retired,0
54,2,1,7356,42045,729263,0,3,Student,1
76,1,0,34555,989780,0,0,8,Retired,0
64,8,7,36553,294690,0,0,3,Unemployed,0
65,6,0,33301,1266101,1465997,0,9,Unemployed,0
24,5,1,24362,549003,0,0,5,Retired,0
83,5,4,37704,450699,0,0,3,Employed,0
73,8,2,9453,252266,0,1,4,Student,1
53,3,0,20585,517702,0,1,3,Student,0
39,4,2,35494,319162,0,0,5,Employed,0
83,2,1,22210,959253,0,0,3,Student,0
27,5,2,20851,240758,0,0,0,Unemployed,0
19,6,0,10772,581259,0,1,2,Retired,1
42,3,1,18885,152871,0,0,2,Student,0
26,1,0,21806,1292857,0,1,1,Student,0
78,7,2,2894,1482446,0,0,3,Retired,1
23,1,0,11096,934845,0,0,6,Employed,0
18,2,1,11308,812866,0,0,2,Student,0
25,4,3,20028,325273,2846058,0,9,Retired,0
59,1,0,30202,310176,881965,0,5,Employed,0
18,2,1,18714,333294,1826880,1,0,Unemployed,1
28,4,2,19690,1224916,969964,0,3,Unemployed,0
83,7,1,42624,142687,0,0,1,Retired,0
37,4,3,42416,48818,0,0,8,Retired,0
73,6,1,16565,167651,0,0,10,Retired,0
33,7,6,41959,1426100,1210434,0,9,Student,0
33,5,1,7129,848692,0,1,10,Employed,1
42,3,1,43329,186261,0,0,5,Employed,0
37,1,0,18341,1282810,0,1,7,Retired,0
41,2,0,23501,48241,0,0,5,Employed,0
45,6,5,35919,455427,0,0,8,Unemployed,0
75,5,3,3493,1056520,0,0,8,Employed,1
52,7,6,9719,318282,0,0,0,Student,1
82,3,1,13835,1411294,0,0,9,Employed,0
53,8,5,23469,1398192,0,0,6,Employed,0
73,3,0,32121,159014,0,0,5,Employed,0
29,8,4,3508,158197,0,0,8,Student,1
58,3,2,33003,543869,0,0,7,Retired,0
42,6,4,28379,1183865,0,1,1,Student,1
21,8,6,39721,1312845,700754,0,4,Employed,0
35,6,5,41192,1007067,0,1,9,Retired,0
51,3,2,29407,256041,976462,0,2,Unemployed,0
28,5,3,10376,1322124,0,0,7,Student,1
19,3,1,33240,1181479,0,0,1,Employed,0
54,1,0,33205,197994,0,1,8,Student,0
36,2,0,44485,1483716,0,1,9,Employed,0
60,6,2,10359,963389,0,1,7,Unemployed,1
30,1,0,8489,302921,0,0,5,Unemployed,1
27,2,0,26527,421712,0,0,7,Student,0
66,3,1,5879,531157,1641596,0,0,Retired,0
68,6,3,28532,1313062,0,0,0,Unemployed,0
69,2,1,40525,1436252,2229931,1,10,Retired,0
25,8,6,25505,360538,505499,0,0,Unemployed,0
50,5,1,23453,460845,0,0,8,Unemployed,0
69,1,0,30308,961267,0,0,3,Student,0
69,1,0,42199,1011581,0,0,2,Employed,0
43,6,3,34135,1219522,811430,0,2,Student,0
55,5,4,24612,454732,0,0,8,Retired,0
35,1,0,41828,216037,2420597,0,9,Student,0
77,7,1,30696,1123466,0,0,0,Retired,0
65,7,2,39900,1367180,0,1,6,Unemployed,0
27,6,1,6370,239590,0,0,5,Retired,1
32,3,1,18389,3040,2771044,0,2,Student,0
61,8,5,13453,380961,2203788,0,6,Unemployed,0
45,8,6,21384,786952,1024661,0,10,Student,1
38,4,0,41637,925937,0,1,3,Employed,0
77,8,1,34404,654394,1426027,0,3,Unemployed,0
70,8,0,28080,761893,0,0,7,Employed,0
26,7,2,10341,202814,0,0,6,Student,1
62,6,4,34936,155486,2009260,1,5,Employed,0
32,4,1,5683,217889,699453,1,8,Employed,1
18,8,0,34656,334927,0,0,8,Unemployed,0
80,1,0,30920,1367278,0,0,7,Unemployed,0
42,6,2,25518,461397,0,1,7,Unemployed,0
80,2,0,17201,843026,2743780,0,7,Unemployed,0
30,1,0,5768,840439,0,0,10,Retired,1
49,1,0,23700,645159,1441004,0,9,Retired,0
55,6,0,24550,692694,1539683,0,6,Unemployed,0
78,4,1,10554,1364574,0,0,1,Employed,1
68,7,4,17232,588805,1144598,0,3,Retired,1
56,8,4,34300,332520,0,0,9,Retired,0
75,7,6,19945,164164,0,0,9,Unemployed,1
76,8,1,37229,935561,1857460,0,5,Student,0
50,1,0,10745,950585,0,0,8,Student,0
82,5,1,4233,1304851,2273468,0,6,Employed,0
32,5,2,2603,721202,2227493,0,3,Employed,0
69,7,1,12248,298397,881248,0,4,Unemployed,1
78,2,1,23736,943838,0,0,6,Student,0
82,4,2,30923,1089179,988941,0,8,Retired,0
18,6,5,32449,1179997,0,0,6,Unemployed,0
74,8,4,40448,303409,0,0,10,Unemployed,0
20,5,0,22861,382251,0,0,6,Unemployed,0
58,6,1,18713,136534,1900143,0,10,Student,0
19,8,3,5006,1184902,0,1,3,Employed,1
85,3,2,42426,619228,0,0,8,Unemployed,0
44,4,0,38614,179148,1742786,0,1,Employed,0
39,1,0,18019,213557,0,0,0,Student,0
52,5,2,25560,93614,0,0,0,Student,0
54,4,0,34474,739095,0,0,8,Student,0
78,1,0,25727,121186,1212077,0,5,Student,0
46,1,0,15740,682909,0,0,9,Retired,0
38,2,1,23094,399247,0,0,4,Student,0
22,5,1,44536,1038188,0,0,10,Unemployed,0
82,3,1,10252,64684,763430,1,7,Student,1
82,8,3,42728,410985,0,0,3,Unemployed,0
71,3,1,22320,1071347,0,0,5,Unemployed,0
67,8,0,11753,1181739,0,0,7,Retired,0
72,6,1,2295,392447,0,0,4,Retired,1
38,3,0,27045,93889,0,0,6,Retired,0
74,5,2,43597,364410,0,1,5,Employed,0
84,5,1,34679,1070599,0,1,6,Student,0
63,5,2,4338,188782,0,0,1,Employed,1
57,7,2,20528,706690,0,0,3,Unemployed,0
78,6,2,41190,1301016,0,0,8,Unemployed,0
48,7,5,25295,45897,0,1,6,Student,1
66,4,0,41185,1180644,1893670,0,2,Employed,0
44,3,2,33440,929731,0,0,2,Student,0
81,4,0,34038,272385,0,0,5,Unemployed,0
75,1,0,41034,116224,0,0,1,Retired,0
27,7,0,27688,1322323,0,0,5,Student,0
63,4,0,14106,1281633,0,1,3,Student,1
46,5,3,17904,455119,0,0,6,Employed,0
70,7,0,7963,91707,0,0,1,Retired,1
85,7,5,16746,971038,0,0,1,Employed,1
48,7,1,20512,788158,0,0,1,Unemployed,0
57,7,3,7667,887230,0,0,8,Student,1
68,1,0,19734,902773,0,0,6,Unemployed,0
43,2,0,8134,882097,0,0,8,Retired,1
54,8,7,44212,1491932,2389400,1,7,Student,0
37,7,2,27720,726701,2472701,0,0,Retired,0
29,7,1,9726,707968,0,0,7,Student,1
65,8,3,30212,1049779,0,0,7,Retired,0
70,4,3,4290,1418746,2762294,0,4,Student,0
49,4,3,18251,1042169,0,0,3,Student,0
71,4,2,35178,892474,0,0,0,Unemployed,0
41,1,0,5217,807789,0,0,9,Unemployed,1
23,8,2,39351,148861,0,0,9,Employed,0
39,6,1,30417,621381,2017164,1,8,Retired,0
42,2,1,34143,886000,1343693,0,0,Retired,0
85,5,1,31776,512017,0,0,1,Retired,0
63,1,0,43597,284787,0,0,3,Unemployed,0
79,8,4,41793,1494033,0,0,1,Student,0
44,4,2,28079,851559,0,0,3,Retired,0
20,1,0,43687,660248,0,0,6,Student,0
35,2,0,25193,743230,2987768,0,1,Employed,0
47,4,1,19811,1372047,0,1,0,Employed,0
45,8,3,44985,762042,0,1,5,Retired,0
62,4,3,8661,1217322,0,0,9,Unemployed,1
54,1,0,6056,581953,2946511,1,4,Student,1
57,4,0,27421,286570,0,0,6,Unemployed,0
58,5,3,41605,847465,1339472,0,5,Student,0
79,2,0,18638,600523,0,0,2,Unemployed,0
23,1,0,2363,330167,1638524,0,7,Unemployed,0
33,8,4,30558,1189873,2250024,0,5,Student,0
83,2,1,44923,1061282,2071559,0,2,Employed,0
